#{"t_start": 1750848148.7122128, "env_id": "None"}
r,l,t
-262.347282,1000,4.600562
73.211563,21,4.692276
74.395038,21,4.784175
635.813264,160,5.454865
85.971545,24,5.559354
62.656949,16,5.629849
60.906837,18,5.709023
71.245332,18,5.788259
80.316638,22,5.884014
197.325933,54,6.113478
552.36673,127,6.646474
95.71077,31,6.779861
100.755777,25,6.888187
55.456274,22,6.984301
372.693104,90,7.363116
107.530109,29,7.488122
111.2701,24,7.592261
49.818013,14,7.655094
314.707551,80,7.99262
174.29571,42,8.171411
375.778145,95,8.571655
90.192565,29,8.696612
79.960583,21,8.78917
45.07721,12,8.84225
453.413993,115,9.871608
246.839099,65,10.146474
170.623303,47,10.34661
105.134785,22,10.442446
55.521496,18,10.521819
155.143977,38,10.684345
131.527841,31,10.818244
61.171058,18,10.896567
139.06392,43,11.080129
144.757456,39,11.246646
313.817689,79,11.580292
97.00251,33,11.721607
358.389079,94,12.117383
446.611268,119,12.617444
159.977933,36,12.772349
101.641882,37,12.929938
70.906337,21,13.021673
93.293454,20,13.108994
316.703828,79,13.442584
127.028912,36,13.596826
605.241583,152,14.234233
213.718651,58,14.480284
200.660064,47,14.679871
169.61148,34,14.825857
135.328865,37,14.984097
106.753704,27,15.100873
203.93655,47,15.301098
117.855177,36,15.45509
120.954348,31,15.588496
74.960348,18,15.667422
128.228247,29,15.792961
510.923998,126,16.321727
185.861215,45,16.513268
457.614614,115,16.996592
189.472051,46,17.192823
250.510613,57,17.434149
97.391623,27,17.550921
199.271414,45,17.743101
51.37225,12,17.796595
78.210671,21,17.888436
50.932715,14,17.950822
118.379697,32,18.088353
54.060268,17,18.163711
117.703386,34,18.309107
124.888902,35,19.468268
237.130926,79,19.801134
236.378348,64,20.072299
114.884582,38,20.234198
358.135324,97,20.642605
292.343372,71,20.942764
200.089795,59,21.192964
747.357083,168,21.896826
-77.16239,1000,26.067928
111.357241,24,26.172205
233.235675,52,26.39287
290.861152,72,26.696927
69.24183,19,26.780187
108.526862,26,26.892958
111.994734,29,27.017553
327.911405,87,27.384608
395.016809,98,27.797069
93.937153,27,27.913762
20.784137,7,27.946736
162.069555,36,29.126076
180.179304,43,29.309381
211.733929,55,29.542585
248.046126,73,29.850928
67.300315,19,29.934387
113.597696,26,30.046883
87.996146,27,30.163773
212.156004,70,30.459326
66.332647,15,30.525961
61.487163,18,30.605505
217.84202,57,30.847522
425.752868,109,31.309824
384.429254,93,31.700881
218.653971,62,31.963458
52.183028,13,32.021915
29.102855,13,32.080121
332.866527,102,32.509753
673.725817,180,33.263542
-582.124551,1000,37.434415
157.429736,46,38.609408
252.397838,67,38.892901
-927.139607,1000,41.156563
90.542661,26,41.174121
195.144787,45,41.220991
77.149782,20,41.241348
448.978669,112,41.339571
42.963173,11,41.348346
51.863548,13,41.366377
277.013884,77,41.444664
345.6479,81,41.504913
